chrom	chromStart	chromEnd	name	pHaplo
chr1	1716728	1822495	GNB1	0.9
chr1	2439971	2458039	PANK4	0.9
chr1	2985731	3355185	PRDM16	0.99
chr1	3569083	3652765	TP73	1.0
chr1	3696783	3713068	LRRC47	0.92
chr1	4714791	4852594	AJAP1	0.99
chr1	6051525	6161253	KCNAB2	0.92
chr1	6161852	6240183	CHD5	0.99
chr1	6241328	6269449	RPL22	0.91
chr1	6281252	6296032	ICMT	0.93
chr1	6304251	6305638	HES3	0.94
chr1	6472477	6484730	HES2	0.95
chr1	6484847	6521430	ESPN	0.88
chr1	6673744	6684093	PHF13	0.95
chr1	6694227	6761984	DNAJC11	0.98
chr1	6845383	7829766	CAMTA1	1.0
chr1	8014350	8045565	PARK7	0.94
chr1	8064463	8086368	ERRFI1	0.9
chr1	8412456	8877702	RERE	1.0
chr1	9352938	9429591	SPSB1	0.93
chr1	9648931	9674935	TMEM201	0.87
chr1	9711789	9789172	PIK3CD	0.96
chr1	9789083	9884584	CLSTN1	0.91
chr1	10092889	10241297	UBE4B	0.98
chr1	10270862	10441661	KIF1B	1.0
chr1	10458648	10480201	PGD	0.9
chr1	10696660	10856707	CASZ1	0.99
chr1	11072413	11085796	TARDBP	0.97
chr1	11166591	11322564	MTOR	0.99
chr1	12123433	12204264	TNFRSF8	0.87
chr1	12290123	12572099	VPS13D	0.9
chr1	12627938	12677737	DHRS3	0.87
chr1	14026692	14151574	PRDM2	0.98
chr1	14925199	15444539	KAZN	0.99
chr1	15479027	15546976	TMEM51	0.9
chr1	15943994	15995539	DDI2	0.98
chr1	16174358	16266955	SPEN	1.0
chr1	16573333	16678949	FBXO42	0.93
chr1	17733255	17766220	RCC2	0.97
chr1	17866329	18024369	ARHGEF10L	0.87
chr1	18957499	19075360	PAX7	0.95
chr1	19230774	19283180	IFFO2	0.91
chr1	19400999	19536770	UBR4	0.98
chr1	19665266	19812066	CAPZB	0.89
chr1	21069153	21113816	HP1BP3	0.98
chr1	21132962	21503377	EIF4G3	0.96
chr1	21922707	21995801	RAP1GAP	0.97
chr1	22004790	22110099	USP48	0.98
chr1	22379119	22419437	CDC42	0.86
chr1	22443797	22470462	WNT4	0.89
chr1	23037331	23241818	EPHB2	0.97
chr1	23345940	23410182	KDM1A	0.98
chr1	23630263	23670829	HNRNPR	0.99
chr1	24018268	24022915	RPL11	0.98
chr1	24069644	24088549	TCEB3	0.93
chr1	24645811	24690972	GRHL3	0.99
chr1	24958206	24999758	SRRM1	0.98
chr1	25226001	25291612	RUNX3	0.94
chr1	25757387	25826700	TMEM57	0.98
chr1	25943958	26112698	MAN1C1	0.92
chr1	27022523	27108595	ARID1A	1.0
chr1	27730729	27816669	WASF2	0.89
chr1	27860545	27930942	AHDC1	0.92
chr1	28157288	28178187	PPP1R8	0.87
chr1	28296854	28415207	EYA3	0.96
chr1	28832454	28865812	RCC1	0.89
chr1	28995243	29045865	GMEB1	0.9
chr1	29063132	29096287	YTHDF2	0.94
chr1	29474254	29508499	SRSF4	0.96
chr1	29563027	29653325	PTPRU	0.95
chr1	31404352	31538838	PUM1	0.99
chr1	31732416	31769662	SNRNP40	0.92
chr1	32192717	32230494	BAI2	0.86
chr1	32479429	32526451	KHDRBS1	0.95
chr1	32573638	32642169	KPNA6	0.87
chr1	33116742	33151812	RBBP4	0.98
chr1	33282367	33324476	S100PBP	0.88
chr1	33402045	33430286	RNF19B	0.89
chr1	33722145	33766320	ZNF362	0.86
chr1	35331036	35395186	DLGAP3	0.94
chr1	35641978	35658749	SFPQ	0.98
chr1	35734567	35887659	ZMYM4	0.98
chr1	36023073	36032875	NCDN	0.92
chr1	36273772	36323491	AGO4	0.94
chr1	36335408	36395211	AGO1	0.99
chr1	36396318	36538101	AGO3	0.98
chr1	36621179	36646450	MAP7D1	0.89
chr1	36690016	36770958	THRAP3	0.98
chr1	37261127	37499730	GRIK3	0.93
chr1	38076950	38100595	RSPO1	0.94
chr1	38275238	38325292	MTF1	0.92
chr1	38422646	38456593	SF3A3	0.9
chr1	39303869	39325495	RRAGC	0.91
chr1	39546987	39952849	MACF1	0.99
chr1	40026487	40042462	PABPC4	0.94
chr1	40361097	40367928	MYCL	0.86
chr1	40627044	40706593	RLF	0.99
chr1	41249683	41306124	KCNQ4	0.9
chr1	41445006	41478235	CTPS1	0.92
chr1	41972035	42501596	HIVEP3	0.93
chr1	42642209	42801548	FOXJ3	0.91
chr1	43148097	43168020	YBX1	0.94
chr1	43391051	43424530	SLC2A1	0.91
chr1	43990857	44089343	PTPRF	0.96
chr1	44115828	44171186	KDM4A	0.99
chr1	44870865	45117396	RNF220	0.92
chr1	45240922	45244451	RPS8	0.89
chr1	46049517	46084566	NASP	0.91
chr1	46726867	46769280	LRRC41	0.96
chr1	47681961	47697892	TAL1	0.87
chr1	48226199	48462567	TRABD2B	0.98
chr1	50513685	50669458	ELAVL4	0.97
chr1	50883221	50889172	DMRTA2	0.98
chr1	50905149	51425935	FAF1	0.95
chr1	51426416	51440305	CDKN2C	0.92
chr1	52042850	52254889	OSBPL9	0.96
chr1	52254862	52344477	NRD1	0.91
chr1	52608045	52812358	ZFYVE9	0.87
chr1	52873953	53019159	ZCCHC11	0.99
chr1	53192125	53293014	ZYG11B	0.88
chr1	54691104	54879152	SSBP3	0.88
chr1	55532031	55680786	USP24	1.0
chr1	56960418	57110974	PPAP2B	0.96
chr1	57460450	59012406	DAB1	0.99
chr1	61330930	61928465	NFIA	1.0
chr1	62901967	62917475	USP1	0.94
chr1	62920398	63153969	DOCK7	0.92
chr1	64239692	64647181	ROR1	0.97
chr1	65298911	65432187	JAK1	0.99
chr1	65886247	66107242	LEPR	0.91
chr1	66999065	67213982	SGIP1	0.96
chr1	67873492	67896098	SERBP1	0.97
chr1	70034080	70617628	LRRC7	0.94
chr1	70671364	70718735	SRSF11	0.99
chr1	70726270	70820417	ANKRD13C	0.93
chr1	71528973	71546980	ZRANB2	0.86
chr1	76251878	76260764	RABGGTB	0.87
chr1	78028100	78149104	ZZZ3	0.95
chr1	78161671	78225537	USP33	0.87
chr1	78409739	78444794	FUBP1	0.99
chr1	81771844	82458120	LPHN2	0.99
chr1	89149904	89301938	PKN2	0.93
chr1	91177095	91182794	BARHL2	0.98
chr1	91380858	91487829	ZNF644	0.96
chr1	93297581	93307481	RPL5	0.97
chr1	93544791	93604638	MTF2	0.93
chr1	94614543	94740624	ARHGAP29	0.93
chr1	95362506	95392834	CNN3	0.87
chr1	97187220	97289294	PTBP2	0.91
chr1	103342022	103574052	COL11A1	0.89
chr1	107682628	108026080	NTNG1	0.87
chr1	112313283	112531777	KCND3	0.97
chr1	114471813	114520426	HIPK1	0.98
